Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,"Corvette ZR1 Challenge
(US: Race America)",,,,,,,,,,,,,Rennspiel
NES,Crack Out,,,,,,,,,,,,,Puzzle
NES,Danny SulIivan's Indy Heat,,,,,,,,,,,,,Rennspiel
NES,Darkman,,,,,,,,,,,,,Action
NES,Days of Thunder,,,,,,,,,,,,,Rennspiel
NES,Defender of the Crown,,,,,,,,,,,,,Strategie
NES,Déjà Vu,,,,,,,,,,,,,Adventure
NES,Devil World,,,,,,,,,,,,,Action
NES,Die Hard,,,,,,,,,,,,,Action
NES,Die Schlümpfe,,,,,,,,,,,,,Action
NES,Die Schöne und das Biest,,,,,,,,,,,,,Action
NES,"Digger T. Rock: 
The Legend Of The Lost City",,,,,,,,,,,,,Action
NES,Donkey Kong 3,,,,,,,,,,,,,Jump & Run
NES,Donkey Kong Classics,,,,,,,,,,,,,Sonstiges
NES,Donkey Kong Jr.,,,,,,,,,,,,,Jump & Run
NES,Donkey Kong Jr. Math,,,,,,,,,,,,,Sonstiges
NES,Double Dragon,,,,,,,,,,,,,Prügelspiel
NES,Double Dragon III,,,,,,,,,,,,,Prügelspiel
NES,Double Dribble,,,,,,,,,,,,,Sport
NES,"Dragonball 
(US: Dragon Power)",,,,,,,,,,,,,Action
NES,Dropzone,,,,,,,,,,,,,Shooter
NES,Duck Hunt,,,,,,,,,,,,,Shooter
NES,Duck Tales,,,,,,,,,,,,,Jump & Run
NES,Duck Tales 2,,,,,,,,,,,,,Jump & Run
NES,"Dynablaster 
(US: Bomberman II)",,,,,,,,,,,,,Action
NES,Elite,,,,,,,,,,,,,Adventure
NES,Excitebike,,,,,,,,,,,,,Rennspiel
NES,F-15 Strike Eagle,,,,,,,,,,,,,Shooter
NES,Faxanadu,,,,,,,,,,,,,Action
NES,Felix the Cat,,,,,,,,,,,,,Jump & Run
NES,Ferrari Grand Prix Challenge,,,,,,,,,,,,,Rennspiel
NES,Formula 1 Sensation,,,,,,,,,,,,,Rennspiel
NES,Four Player Tennis ,,,,,,,,,,,,,Sport
NES,"Galaga 
(US: Galaga - Demons of Death)",,,,,,,,,,,,,Shooter
NES,Galaxy 5000,,,,,,,,,,,,,Rennspiel
NES,Gargoyle's Quest II,,,,,,,,,,,,,Action
NES,George Foreman's KO Boxing,,,,,,,,,,,,,Sport
NES,Ghostbusters 2,,,,,,,,,,,,,Action
NES,Goal!,,,,,,,,,,,,,Sport
NES,Goal! 2,,,,,,,,,,,,,Sport
NES,Gold Medal Challenge '92,,,,,,,,,,,,,Sport
NES,Golf,,,,,,,,,,,,,Sport
NES,Gradius,,,,,,,,,,,,,Shooter
NES,Gremlins 2: The New Batch,,,,,,,,,,,,,Action
NES,Guerilla War,,,,,,,,,,,,,Action
NES,Gumshoe,,,,,,,,,,,,,Action
NES,Gyromite,,,,,,,,,,,,,Action
NES,Hammerin' Harry,,,,,,,,,,,,,Action
NES,High Speed,,,,,,,,,,,,,Sonstiges
NES,Hogan's Alley,,,,,,,,,,,,,Shooter
NES,"Home Alone 2: 
Lost in New York",,,,,,,,,,,,,Jump & Run
NES,Hook,,,,,,,,,,,,,Jump & Run
NES,Hoop's,,,,,,,,,,,,,Action
NES,Hudson Hawk,,,,,,,,,,,,,Action
NES,Hyper Soccer,,,,,,,,,,,,,Sport
NES,Ice Climber,,,,,,,,,,,,,Action
NES,Ice Hockey,,,,,,,,,,,,,Sport
NES,Ikari Warriors,,,,,,,,,,,,,Action
NES,Indiana Jones and the Last Crusade,,,,,,,,,,,,,Action
NES,Iron Tank,,,,,,,,,,,,,Shooter
NES,Isolated Warrior,,,,,,,,,,,,,Shooter
NES,Jackie Chan's Action Kung Fu,,,,,,,,,,,,,Prügelspiel
NES,James Bond Jr,,,,,,,,,,,,,Action
NES,"Joe & Mac - Caveman Ninja 
(US: Joe & Mac)",,,,,,,,,,,,,Jump & Run
NES,Kabuki Quantum Fighter,,,,,,,,,,,,,Action
NES,Kick Off,,,,,,,,,,,,,Sport
NES,Kickle Cubicle,,,,,,,,,,,,,Puzzle
NES,Kirby’s Adventure,,,,,,,,,,,,,Jump & Run
NES,Knight Rider,,,,,,,,,,,,,Action
NES,König der Löwen,,,,,,,,,,,,,Action
NES,Krusty's Fun House,,,,,,,,,,,,,Action
NES,Kung Fu,,,,,,,,,,,,,Prügelspiel
NES,Lemmings,,,,,,,,,,,,,Puzzle
NES,Les Chevaliers Du Zodiaque,,,,,,,,,,,,,Action
NES,Lethal Weapon,,,,,,,,,,,,,Action
NES,Little Nemo: The Dream Master,,,,,,,,,,,,,Jump & Run
NES,Little Ninja Brothers,,,,,,,,,,,,,RPG
NES,Little Samson,,,,,,,,,,,,,Action
